combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Rory Markham,2010-03-27,28,182.88,180.34,77.1,Orthodox,Welterweight,195.0,Nate Diaz,9,,D,KO/TKO,1,2010-03-27,2010,0,1,,,,,,,,,,,,,0.986,0,0,0
Ricardo Almeida,2010-03-27,33,182.88,187.96,77.1,Orthodox,Welterweight,-185.0,Matt Brown,5,,V,SUB,4,2011-03-19,2010,0,3,2.0,10.6667,,0.0,0.0,2.0,0.0,20.7,0.559,3.1,0.465,1.1,1.028,1,0,0
Matt Brown,2010-03-27,29,182.88,190.5,77.1,Orthodox,Welterweight,160.0,Ricardo Almeida,7,,D,SUB,25,2023-05-13,2010,0,3,0.0,9.0,,0.0,0.0,3.0,0.0,26.0,0.614,0.5,0.375,1.375,1.042,1,1,0
Rousimar Palhares,2010-03-27,30,172.72,180.34,77.1,Orthodox,Middleweight,-220.0,Tomasz Drwal,4,,V,SUB,8,2013-10-09,2010,0,3,2.0,6.0,1.9556,0.0,1.0,2.0,1.0,7.7143,0.31,1.5714,0.331,1.7143,1.044,1,1,0
Tomasz Drwal,2010-03-27,28,185.42,193.04,93.0,Orthodox,Middleweight,180.0,Rousimar Palhares,4,,D,SUB,2,2010-09-15,2010,0,2,,,,,,,,,,,,,1.041,0,0,0
Rodney Wallace,2010-03-27,28,175.26,182.88,93.0,Switch,Light Heavyweight,-160.0,Jared Hamman,1,,D,U-DEC,2,2010-08-07,2010,0,2,,,,,,,,,,,,,1.043,0,0,0
Jared Hamman,2010-03-27,28,190.5,190.5,83.9,Orthodox,Light Heavyweight,140.0,Rodney Wallace,1,,V,U-DEC,6,2013-08-31,2010,0,3,2.0,3.6667,1.0198,0.0,1.0,0.0,1.0,51.75,0.413,0.5,0.25,0.0,1.0,1,0,0
Matthew Riddle,2010-03-27,24,185.42,187.96,77.1,Southpaw,Welterweight,-230.0,Greg Soto,0,,V,DQ,6,2012-11-17,2010,0,3,2.0,1.0,,2.0,1.0,0.0,0.0,43.8571,0.53,3.1429,0.489,0.7143,1.014,1,0,0
Greg Soto,2010-03-27,23,180.34,185.42,77.1,Orthodox,Welterweight,190.0,Matthew Riddle,4,,D,DQ,3,2011-01-01,2010,1,3,1.0,3.3333,1.5758,0.0,0.0,1.0,0.0,,,,,,1.028,1,0,1
Kenny Florian,2010-03-31,33,177.8,187.96,65.8,Southpaw,Lightweight,-360.0,Takanori Gomi,0,,V,SUB,4,2011-10-08,2010,0,3,2.0,3.0,,1.0,0.0,1.0,0.0,25.875,0.453,1.5625,0.445,0.8125,1.057,1,0,0
Takanori Gomi,2010-03-31,31,170.18,177.8,70.3,Southpaw,Lightweight,300.0,Kenny Florian,13,,D,SUB,13,2017-09-22,2010,1,3,1.0,11.6667,1.7992,0.0,1.0,2.0,0.0,13.0,0.223,0.0,0.0,0.0,1.045,1,1,1
