combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Taylor Lapilus,2015-04-11,23,167.64,185.42,61.2,Southpaw,Featherweight,-150.0,Rocky Lee,0,,V,U-DEC,8,2024-09-28,2015,1,3,2.0,2.6667,0.6343,1.0,0.0,0.0,0.0,43.6667,0.437,0.6667,0.22,0.6667,1.106,1,1,1
Rocky Lee,2015-04-11,28,175.26,172.72,65.8,Orthodox,Featherweight,130.0,Taylor Lapilus,0,,D,U-DEC,1,2015-04-11,2015,1,1,,,,,,,,,,,,,0.986,0,0,1
Shane Campbell,2015-04-25,28,182.88,180.34,70.3,Orthodox,Catch Weight,-110.0,John Makdessi,8,1.7604,D,KO/TKO,5,2016-08-27,2015,1,3,1.0,6.0,1.1256,0.0,1.0,0.0,0.0,50.3333,0.563,1.3333,0.353,0.0,0.986,1,0,1
Jonavin Webb,2015-05-09,26,177.8,180.34,77.1,Orthodox,Welterweight,-110.0,Kyle Noke,7,1.2035,D,S-DEC,2,2016-02-21,2015,1,2,,,,,,,,,,,,,1.014,0,0,1
Ben Nguyen,2015-05-09,26,165.1,165.1,56.7,Switch,Flyweight,190.0,Alptekin Ozkilic,3,0.4591,V,KO/TKO,7,2018-12-01,2015,1,3,2.0,3.3333,0.5987,0.0,2.0,1.0,0.0,14.0,0.52,0.0,0.0,1.0,1.0,1,0,1
Phillipe Nover,2015-05-16,31,175.26,182.88,65.8,Orthodox,Featherweight,135.0,Yui Chul Nam,1,0.4637,V,S-DEC,4,2017-02-11,2015,0,3,1.0,4.6667,1.2884,0.0,0.0,0.0,0.0,18.8333,0.34,1.0,0.083,0.6667,1.043,1,0,0
Levan Makashvili,2015-05-16,26,172.72,172.72,65.8,Orthodox,Featherweight,-390.0,Mark Eddiva,2,0.3432,V,S-DEC,2,2015-06-27,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Joshua Burkman,2015-05-23,35,177.8,182.88,77.1,Orthodox,Welterweight,175.0,Dong Hyun Kim,14,2.7955,D,SUB,8,2018-02-18,2015,0,3,1.0,12.0,1.3636,0.0,1.0,1.0,0.0,31.4286,0.499,2.1429,0.436,0.2857,1.029,1,1,0
Islam Makhachev,2015-05-23,23,177.8,177.8,70.3,Orthodox,Lightweight,-500.0,Leo Kuntz,0,,V,SUB,18,2025-11-15,2015,1,3,2.0,3.0,0.9346,1.0,1.0,1.0,0.0,16.0,0.51,2.3333,0.533,1.0,1.0,1,1,1
Leo Kuntz,2015-05-23,31,177.8,187.96,70.3,Orthodox,Lightweight,400.0,Islam Makhachev,0,,D,SUB,2,2015-11-28,2015,1,2,,,,,,,,,,,,,1.057,0,0,1
Darren Till,2015-05-30,22,182.88,187.96,77.1,Southpaw,Welterweight,110.0,Wendell Oliveira,1,0.2674,V,,11,2022-12-10,2015,1,3,3.0,2.0,0.3847,0.0,0.0,0.0,0.0,38.5,0.538,0.75,0.415,0.0,1.028,1,1,1
Elizeu Zaleski dos Santos,2015-05-30,28,180.34,185.42,77.1,Orthodox,Welterweight,230.0,Nicolas Dalby,0,,D,S-DEC,15,2025-08-02,2015,1,3,2.0,3.6667,0.9269,1.0,1.0,0.0,1.0,54.3333,0.4,0.3333,0.333,1.0,1.028,1,1,1
Nicolas Dalby,2015-05-30,30,180.34,187.96,77.1,Orthodox,Welterweight,-270.0,Elizeu Zaleski dos Santos,0,,V,S-DEC,14,2025-11-22,2015,1,3,1.0,3.3333,0.7398,1.0,0.0,0.0,0.0,3.03,0.38,1.8,0.45,0.0,1.042,1,1,1
Tom Breese,2015-05-30,23,190.5,185.42,83.9,Southpaw,Welterweight,-155.0,Luiz Dutra,1,0.2674,V,KO/TKO,8,2021-01-20,2015,1,3,3.0,3.3333,0.4628,0.0,2.0,0.0,0.0,27.0,0.6,0.0,0.0,0.3333,0.973,1,1,1
Brian Ortega,2015-06-06,24,172.72,175.26,65.8,Switch,Featherweight,125.0,Thiago Tavares,15,1.5154,V,KO/TKO,13,2025-08-23,2015,0,3,3.0,15.3333,3.5274,0.0,2.0,1.0,3.0,33.75,0.37,0.25,0.083,1.25,1.015,1,1,0
Steve Kennedy,2015-06-20,32,180.34,180.34,77.1,Orthodox,Welterweight,310.0,Peter Sobotta,4,0.4947,D,SUB,2,2015-11-14,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Lukasz Sajewski,2015-06-20,24,172.72,180.34,70.3,Orthodox,Lightweight,130.0,Nick Hein,2,0.5359,D,U-DEC,3,2016-10-08,2015,1,3,0.0,2.0,0.9226,1.0,1.0,1.0,0.0,,,,,,1.044,1,0,1
Arnold Allen,2015-06-20,21,172.72,177.8,65.8,Southpaw,Featherweight,145.0,Alan Omer,1,0.2674,V,SUB,14,2026-01-24,2015,1,3,3.0,3.3333,0.4866,0.0,0.0,1.0,0.0,28.6667,0.343,2.6667,0.583,0.6667,1.029,1,1,1
Magomed Mustafaev,2015-06-20,26,172.72,180.34,70.3,Orthodox,Lightweight,-120.0,Piotr Hallmann,4,0.7125,V,KO/TKO,5,2020-02-22,2015,1,3,2.0,6.0,1.125,0.0,2.0,1.0,1.0,18.6667,0.557,0.0,0.0,0.3333,1.044,1,0,1
Steve Bosse,2015-06-27,33,180.34,182.88,93.0,Orthodox,Middleweight,155.0,Thiago Santos,4,0.6664,D,KO/TKO,3,2016-06-18,2015,1,3,2.0,6.0,0.6819,0.0,2.0,0.0,0.0,,,,,,1.014,1,0,1
Joe Merritt,2015-06-27,31,182.88,185.42,77.1,Orthodox,Welterweight,340.0,Alex Oliveira,2,,D,U-DEC,1,2015-06-27,2015,1,1,,,,,,,,,,,,,1.014,0,0,1
Lewis Gonzalez,2015-06-27,27,177.8,185.42,77.1,Orthodox,Welterweight,165.0,Leandro Silva,4,0.5193,D,U-DEC,1,2015-06-27,2015,1,1,,,,,,,,,,,,,1.043,0,0,1
Steve Montgomery,2015-06-27,24,193.04,190.5,83.9,Southpaw,Welterweight,100.0,Tony Sims,0,,D,KO/TKO,2,2015-11-14,2015,1,2,,,,,,,,,,,,,0.987,0,0,1
Tony Sims,2015-06-27,29,180.34,177.8,70.3,Southpaw,Welterweight,-120.0,Steve Montgomery,0,,V,KO/TKO,3,2016-01-02,2015,1,3,1.0,3.3333,0.9925,1.0,1.0,1.0,0.0,,,,,,0.986,1,0,1
Sirwan Kakai,2015-06-27,25,165.1,167.64,61.2,Orthodox,Bantamweight,-105.0,Danny Martinez,2,0.2674,V,U-DEC,2,2015-08-08,2015,1,2,,,,,,,,,,,,,1.015,0,0,1
Kamaru Usman,2015-07-12,28,182.88,193.04,77.1,Switch,Welterweight,-240.0,Hayder Hassan,0,,V,SUB,19,2025-06-14,2015,1,3,3.0,2.3333,0.397,1.0,0.0,1.0,0.0,34.6667,0.593,5.6667,0.587,0.3333,1.056,1,1,1
Hayder Hassan,2015-07-12,32,177.8,177.8,77.1,Orthodox,Welterweight,200.0,Kamaru Usman,0,,D,SUB,2,2015-12-19,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Michael Graves,2015-07-12,24,177.8,180.34,77.1,Orthodox,Welterweight,160.0,Vicente Luque,0,,V,U-DEC,2,2016-04-16,2015,1,2,,,,,,,,,,,,,1.014,0,0,1
Vicente Luque,2015-07-12,23,180.34,190.5,77.1,Orthodox,Welterweight,-185.0,Michael Graves,0,,D,U-DEC,23,2025-10-11,2015,1,3,2.0,0.6667,0.4502,1.0,0.0,1.0,0.0,21.6667,0.47,1.3333,0.267,1.0,1.056,1,1,1
Dominic Waters,2015-07-12,26,185.42,200.66,77.1,Orthodox,Welterweight,210.0,George Sullivan,3,1.0713,D,U-DEC,3,2016-05-08,2015,1,3,0.0,7.3333,1.5446,0.0,1.0,0.0,0.0,,,,,,1.082,1,0,1
Lyman Good,2015-07-15,30,182.88,187.96,77.1,Orthodox,Welterweight,-270.0,Andrew Craig,6,1.0627,V,KO/TKO,6,2020-06-20,2015,1,3,2.0,8.3333,1.0793,0.0,2.0,0.0,2.0,48.0,0.53,0.3333,0.333,0.0,1.028,1,0,1
Teemu Packalen,2015-07-18,28,185.42,182.88,70.3,Orthodox,Lightweight,-140.0,Mickael Lebout,1,,D,U-DEC,4,2019-09-07,2015,1,3,1.0,1.0,0.4172,1.0,1.0,1.0,0.0,2.57,0.54,2.31,0.25,1.5,0.986,1,0,1
Jimmie Rivera,2015-07-18,26,162.56,172.72,61.2,Orthodox,Bantamweight,-140.0,Marcus Brimage,7,1.3104,V,KO/TKO,11,2021-02-27,2015,1,3,3.0,7.0,1.1253,0.0,1.0,0.0,2.0,52.0,0.467,1.0,0.167,0.0,1.062,1,1,1
Chris de la Rocha,2015-07-18,36,190.5,203.2,113.4,Orthodox,Heavyweight,120.0,Daniel Omielanczuk,3,0.4947,D,KO/TKO,4,2018-12-15,2015,1,3,1.0,1.6667,0.3494,1.0,3.0,0.0,0.0,26.6667,0.323,1.0,0.25,0.6667,1.067,1,0,1
Andrew Holbrook,2015-07-25,29,180.34,177.8,70.3,Southpaw,Lightweight,135.0,Ramsey Nijem,9,2.2305,V,S-DEC,5,2017-09-02,2015,1,3,2.0,5.3333,1.0834,0.0,1.0,0.0,1.0,17.3333,0.577,0.6667,0.333,1.6667,0.986,1,0,1
Dominique Steele,2015-07-25,27,177.8,187.96,77.1,Orthodox,Middleweight,340.0,Zak Cummings,3,0.8791,D,KO/TKO,5,2017-06-10,2015,1,3,1.0,1.3333,0.6647,1.0,2.0,0.0,0.0,24.0,0.68,3.3333,0.473,0.0,1.057,1,0,1
Glaico Franca,2015-08-01,24,182.88,195.58,70.3,Orthodox,Lightweight,-210.0,Fernando Bruno,0,,V,,3,2016-09-24,2015,1,3,1.0,1.3333,2.1399,2.0,0.0,0.0,0.0,,,,,,1.069,1,0,1
Fernando Bruno,2015-08-01,33,167.64,177.8,65.8,Southpaw,Lightweight,175.0,Glaico Franca,0,,D,,2,2016-07-08,2015,1,2,,,,,,,,,,,,,1.061,0,0,1
Reginaldo Vieira,2015-08-01,32,170.18,165.1,61.2,Orthodox,Bantamweight,360.0,Dileno Lopes,0,,V,U-DEC,3,2017-02-19,2015,1,3,1.0,0.6667,1.3525,2.0,0.0,1.0,0.0,,,,,,0.97,1,0,1
Dileno Lopes,2015-08-01,30,165.1,165.1,61.2,Southpaw,Bantamweight,-450.0,Reginaldo Vieira,0,,D,U-DEC,2,2016-07-07,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Geane Herrera,2015-08-08,25,165.1,167.64,56.7,Orthodox,Flyweight,350.0,Ray Borg,3,0.4947,D,U-DEC,4,2016-11-26,2015,1,3,1.0,3.3333,0.5839,0.0,1.0,0.0,0.0,20.0,0.46,0.6667,0.5,0.6667,1.015,1,0,1
Oluwale Bamgbose,2015-08-08,28,180.34,198.12,83.9,Switch,Middleweight,260.0,Uriah Hall,6,0.7147,D,KO/TKO,5,2017-12-16,2015,1,3,1.0,6.0,1.5114,0.0,2.0,0.0,0.0,11.6667,0.457,0.0,0.0,0.0,1.099,1,0,1
Jonathan Wilson,2015-08-08,28,187.96,190.5,93.0,Southpaw,Light Heavyweight,-125.0,Chris Dempsey,2,0.2674,V,KO/TKO,4,2017-10-21,2015,1,3,1.0,1.0,0.2674,1.0,2.0,0.0,0.0,33.3333,0.52,0.3333,0.333,0.0,1.014,1,0,1
Scott Holtzman,2015-08-08,31,175.26,175.26,70.3,Orthodox,Lightweight,-1200.0,Anthony Christodoulou,1,,V,SUB,13,2022-12-03,2015,1,3,2.0,3.0,0.4467,0.0,0.0,1.0,0.0,54.0,0.53,2.0,0.577,0.6667,1.0,1,1,1
Misha Cirkunov,2015-08-23,28,190.5,195.58,93.0,Orthodox,Light Heavyweight,-570.0,Daniel Jolly,0,,V,KO/TKO,13,2022-10-15,2015,1,3,3.0,0.0,,3.0,1.0,2.0,0.0,33.3333,0.593,2.3333,0.527,0.6667,1.027,1,1,1
Daniel Jolly,2015-08-23,30,185.42,190.5,93.0,Orthodox,Light Heavyweight,435.0,Misha Cirkunov,0,,D,KO/TKO,2,2017-02-04,2015,1,2,,,,,,,,,,,,,1.027,0,0,1
Joaquim Silva,2015-09-05,26,172.72,175.26,70.3,Orthodox,Lightweight,105.0,Nazareno Malegarie,0,,V,S-DEC,12,2025-09-13,2015,1,3,3.0,2.3333,1.189,1.0,1.0,0.0,1.0,31.6667,0.443,0.0,0.0,0.3333,1.015,1,1,1
Nazareno Malegarie,2015-09-05,29,172.72,177.8,70.3,Orthodox,Lightweight,-125.0,Joaquim Silva,0,,D,S-DEC,1,2015-09-05,2015,1,1,,,,,,,,,,,,,1.029,0,0,1
Keita Nakamura,2015-09-26,31,180.34,185.42,77.1,Southpaw,Welterweight,255.0,Li Jingliang,3,0.5591,V,,8,2019-04-20,2015,0,3,2.0,5.0,0.9173,0.0,0.0,1.0,1.0,32.0,0.365,1.5,0.417,0.6667,1.028,1,1,0
Yusuke Kasuya,2015-09-26,25,170.18,170.18,70.3,Southpaw,Lightweight,305.0,Nick Hein,3,0.5359,D,U-DEC,2,2016-11-26,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Roger Zapata,2015-09-26,29,180.34,187.96,77.1,Southpaw,Welterweight,-105.0,Shinsho Anzai,1,0.2674,D,KO/TKO,1,2015-09-26,2015,1,1,,,,,,,,,,,,,1.042,0,0,1
Sage Northcutt,2015-10-03,19,182.88,180.34,77.1,Orthodox,Lightweight,-470.0,Francisco Trevino,2,0.3738,V,KO/TKO,8,2018-07-14,2015,1,3,2.0,2.0,0.5271,0.0,1.0,2.0,0.0,15.6667,0.65,1.3333,0.733,0.3333,0.986,1,1,1
Bubba Bush,2015-10-24,30,182.88,185.42,83.9,Orthodox,Middleweight,-330.0,Garreth McLellan,1,,D,KO/TKO,1,2015-10-24,2015,0,1,,,,,,,,,,,,,1.014,0,0,0
Bruno Korea,2015-11-07,24,167.64,165.1,61.2,Orthodox,Bantamweight,165.0,Matheus Nicolau,0,,D,,1,2015-11-07,2015,1,1,,,,,,,,,,,,,0.985,0,0,1
Matheus Nicolau,2015-11-07,22,167.64,167.64,56.7,Orthodox,Bantamweight,-190.0,Bruno Korea,0,,V,,11,2024-10-19,2015,1,3,3.0,5.6667,1.5971,1.0,0.0,0.0,2.0,58.0,0.523,2.0,0.5,1.6667,1.0,1,1,1
Anton Zafir,2015-11-14,28,180.34,182.88,77.1,Orthodox,Welterweight,325.0,James Moontasri,3,0.2674,D,KO/TKO,2,2016-07-08,2015,1,2,,,,,,,,,,,,,1.014,0,0,1
Erick Montano,2015-11-21,30,182.88,185.42,77.1,Orthodox,Welterweight,-230.0,Enrique Marin,0,,V,S-DEC,3,2016-11-05,2015,1,3,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,,1.014,1,0,1
Enrique Marin,2015-11-21,29,177.8,187.96,77.1,Orthodox,Welterweight,190.0,Erick Montano,0,,D,S-DEC,2,2016-07-09,2015,1,2,,,,,,,,,,,,,1.057,0,0,1
Horacio Gutierrez,2015-11-21,25,177.8,175.26,65.8,Orthodox,Lightweight,-210.0,Enrique Barzola,0,,D,U-DEC,2,2016-08-06,2015,1,2,,,,,,,,,,,,,0.986,0,0,1
Enrique Barzola,2015-11-21,26,170.18,177.8,65.8,Switch,Lightweight,175.0,Horacio Gutierrez,0,,V,U-DEC,9,2019-10-26,2015,1,3,2.0,0.6667,,1.0,0.0,0.0,0.0,55.0,0.473,4.3333,0.413,0.0,1.045,1,1,1
Vernon Ramos,2015-11-21,23,167.64,182.88,77.1,Orthodox,Welterweight,-170.0,Alvaro Herrera,0,,D,,1,2015-11-21,2015,1,1,,,,,,,,,,,,,1.091,0,0,1
Alvaro Herrera,2015-11-21,25,182.88,187.96,70.3,Orthodox,Welterweight,150.0,Vernon Ramos,0,,V,,4,2018-07-28,2015,1,3,1.0,1.0,0.2803,1.0,0.0,0.0,0.0,6.0,0.393,0.0,0.0,0.3333,1.028,1,0,1
Cesar Arzamendia,2015-11-21,24,180.34,180.34,70.3,Orthodox,Lightweight,-190.0,Polo Reyes,0,,D,,2,2016-07-30,2015,1,2,,,,,,,,,,,,,1.0,0,0,1
Polo Reyes,2015-11-21,31,180.34,180.34,70.3,Orthodox,Lightweight,165.0,Cesar Arzamendia,0,,V,,6,2019-02-23,2015,1,3,3.0,0.6667,0.2433,1.0,0.0,0.0,0.0,65.0,0.357,0.0,0.0,0.0,1.0,1,0,1
Dong Hyun Ma,2015-11-28,27,180.34,177.8,70.3,Orthodox,Welterweight,110.0,Dominique Steele,1,,D,KO/TKO,8,2019-12-21,2015,1,3,1.0,1.6667,0.3959,0.0,1.0,0.0,0.0,41.0,0.507,2.0,0.553,0.0,0.986,1,1,1
Danny Roberts,2015-12-10,28,185.42,187.96,77.1,Southpaw,Welterweight,-150.0,Nathan Coy,0,,V,SUB,14,2023-07-22,2015,1,3,2.0,1.0,0.4502,1.0,1.0,1.0,0.0,49.0,0.39,0.0,0.0,0.3333,1.014,1,1,1
Nathan Coy,2015-12-10,37,177.8,175.26,77.1,Southpaw,Welterweight,140.0,Danny Roberts,0,,D,SUB,3,2017-04-15,2015,1,3,1.0,2.6667,0.6789,1.0,0.0,2.0,0.0,,,,,,0.986,1,0,1
Artem Lobov,2015-12-11,29,175.26,165.1,65.8,Southpaw,Lightweight,-165.0,Ryan Hall,0,,D,U-DEC,7,2018-10-27,2015,1,3,1.0,1.0,0.3123,2.0,0.0,0.0,0.0,26.0,0.28,0.0,0.0,0.0,0.942,1,0,1
Ryan Hall,2015-12-11,30,177.8,180.34,70.3,Southpaw,Lightweight,145.0,Artem Lobov,0,,V,U-DEC,6,2021-12-11,2015,1,3,3.0,14.0,1.1428,1.0,0.0,1.0,1.0,2.32,0.43,0.31,0.16,0.9,1.014,1,0,1
Jason Knight,2015-12-11,23,177.8,180.34,65.8,Orthodox,Featherweight,235.0,Tatsuya Kawajiri,3,0.3811,D,U-DEC,9,2018-11-03,2015,1,3,2.0,3.6667,0.4698,0.0,0.0,0.0,0.0,54.3333,0.433,1.6667,0.267,1.6667,1.014,1,1,1
Julian Erosa,2015-12-11,26,185.42,187.96,65.8,Southpaw,Lightweight,105.0,Marcin Wrzosek,0,,V,S-DEC,18,2026-03-28,2015,1,3,1.0,0.3333,,2.0,2.0,0.0,0.0,27.0,0.497,1.0,0.553,0.6667,1.014,1,1,1
Marcin Wrzosek,2015-12-11,28,175.26,178.0,70.3,Orthodox,Lightweight,-125.0,Julian Erosa,0,,D,S-DEC,1,2015-12-11,2015,1,1,,,,,,,,,,,,,1.016,0,0,1
Chris Gruetzemacher,2015-12-11,29,172.72,172.72,70.3,Orthodox,Lightweight,-145.0,Abner Lloveras,0,,V,U-DEC,7,2021-12-04,2015,1,3,1.0,2.6667,1.3471,1.0,0.0,2.0,0.0,59.0,0.56,0.0,0.0,0.0,1.0,1,0,1
Abner Lloveras,2015-12-11,33,180.34,180.34,70.3,Orthodox,Lightweight,125.0,Chris Gruetzemacher,0,,D,U-DEC,1,2015-12-11,2015,1,1,,,,,,,,,,,,,1.0,0,0,1
Tamdan McCrory,2015-12-19,29,193.04,198.12,83.9,Switch,Middleweight,180.0,Josh Samman,3,1.0794,V,SUB,3,2016-10-01,2015,0,3,1.0,9.6667,1.0142,0.0,2.0,1.0,1.0,,,,,,1.026,1,0,0
Francis Ngannou,2015-12-19,29,193.04,210.82,113.4,Orthodox,Heavyweight,-140.0,Luis Henrique,0,,V,KO/TKO,14,2022-01-22,2015,1,3,3.0,0.0,,3.0,3.0,0.0,0.0,23.0,0.457,0.0,0.0,0.0,1.092,1,1,1
Luis Henrique,2015-12-19,22,187.96,187.96,110.2,Orthodox,Heavyweight,120.0,Francis Ngannou,0,,D,KO/TKO,6,2018-09-22,2015,1,3,2.0,0.3333,,2.0,1.0,2.0,0.0,18.6667,0.517,2.6667,0.433,1.0,1.0,1,0,1
Alex Morono,2016-01-02,25,180.34,182.88,77.1,Orthodox,Welterweight,310.0,Kyle Noke,9,1.4127,V,S-DEC,23,2026-02-07,2016,1,3,2.0,7.0,0.8849,0.0,0.0,0.0,1.0,59.25,0.393,0.0,0.0,0.25,1.014,1,1,1
Mehdi Baghdad,2016-01-17,30,185.42,190.5,70.3,Orthodox,Lightweight,375.0,Chris Wade,3,0.8462,D,SUB,2,2016-07-07,2016,1,2,,,,,,,,,,,,,1.027,0,0,1
Luke Sanders,2016-01-17,30,167.64,170.18,61.2,Southpaw,Featherweight,105.0,Maximo Blanco,7,1.1676,V,SUB,8,2021-05-01,2016,1,3,1.0,7.3333,1.3163,0.0,1.0,2.0,1.0,47.6667,0.527,0.3333,0.167,0.3333,1.015,1,1,1
Kyle Bochniak,2016-01-17,28,170.18,177.8,65.8,Orthodox,Featherweight,215.0,Charles Rosa,3,0.3123,D,U-DEC,7,2019-10-18,2016,1,3,1.0,2.0,0.3861,0.0,0.0,0.0,0.0,38.6667,0.37,0.6667,0.177,0.0,1.045,1,0,1
Joey Gomez,2016-01-17,26,177.8,180.34,70.3,Orthodox,Bantamweight,180.0,Rob Font,1,0.3704,D,KO/TKO,2,2016-09-17,2016,1,2,,,,,,,,,,,,,1.014,0,0,1
Elvis Mutapcic,2016-01-17,29,182.88,182.88,83.9,Orthodox,Light Heavyweight,-160.0,Francimar Barroso,3,0.5198,D,U-DEC,2,2016-12-03,2016,1,2,,,,,,,,,,,,,1.0,0,0,1
Randy Brown,2016-01-30,25,190.5,198.12,77.1,Orthodox,Welterweight,-145.0,Matt Dwyer,3,0.3269,V,U-DEC,21,2025-11-08,2016,1,3,2.0,1.6667,0.4384,0.0,0.0,2.0,0.0,23.3333,0.453,0.6667,0.193,1.0,1.04,1,1,1
Felipe Olivieri,2016-01-30,30,175.26,182.88,70.3,Orthodox,Lightweight,135.0,Anthony Rocco Martin,4,0.317,D,SUB,1,2016-01-30,2016,1,1,,,,,,,,,,,,,1.043,0,0,1
Alex Nicholson,2016-02-06,25,193.04,205.74,83.9,Orthodox,Light Heavyweight,500.0,Misha Cirkunov,1,0.4502,D,SUB,4,2017-05-28,2016,1,3,1.0,3.0,1.2785,1.0,1.0,1.0,0.0,38.6667,0.447,0.0,0.0,0.0,1.066,1,0,1
Damian Grabowski,2016-02-06,35,185.42,190.5,109.3,Orthodox,Heavyweight,-115.0,Derrick Lewis,6,0.6665,D,KO/TKO,3,2017-07-22,2016,1,3,0.0,4.6667,0.4907,0.0,2.0,0.0,0.0,,,,,,1.027,1,0,1
Mickey Gall,2016-02-06,24,187.96,187.96,77.1,Switch,Welterweight,-525.0,Mike Jackson,0,,V,SUB,13,2024-11-16,2016,1,3,3.0,1.3333,0.5751,2.0,0.0,3.0,0.0,10.3333,0.54,1.0,0.667,2.0,1.0,1,1,1
Mike Jackson,2016-02-06,30,187.96,188.0,77.1,Orthodox,Welterweight,450.0,Mickey Gall,0,,D,SUB,4,2022-10-15,2016,1,3,2.0,0.3333,0.204,2.0,0.0,1.0,0.0,4.49,0.57,0.71,0.33,0.0,1.0,1,0,1
Augusto Mendes,2016-02-21,32,167.64,165.1,61.2,Orthodox,Catch Weight,360.0,Cody Garbrandt,2,0.9842,D,KO/TKO,3,2017-04-15,2016,1,3,1.0,4.3333,0.9843,0.0,1.0,0.0,0.0,,,,,,0.985,1,0,1
Leonardo Augusto Leleco,2016-02-21,33,182.88,185.42,83.9,Orthodox,Middleweight,115.0,Anthony Smith,1,0.2433,D,,2,2016-09-17,2016,1,2,,,,,,,,,,,,,1.014,0,0,1
Jarjis Danho,2016-02-27,32,190.5,187.96,120.2,Orthodox,Heavyweight,-110.0,Daniel Omielanczuk,4,0.657,D,M-DEC,2,2021-04-10,2016,1,2,,,,,,,,,,,,,0.987,0,0,1
Thibault Gouti,2016-02-27,28,177.8,182.88,70.3,Orthodox,Lightweight,-110.0,Teemu Packalen,1,0.2433,D,SUB,6,2018-10-27,2016,1,3,0.0,3.6667,0.8769,0.0,1.0,2.0,0.0,11.0,0.223,0.0,0.0,0.0,1.029,1,0,1
David Teymur,2016-02-27,26,175.26,185.42,70.3,Southpaw,Lightweight,-115.0,Martin Svensson,0,,V,KO/TKO,6,2019-02-02,2016,1,3,3.0,0.6667,0.3899,2.0,2.0,0.0,0.0,51.3333,0.497,1.0,0.427,0.0,1.058,1,0,1
Martin Svensson,2016-02-27,30,185.42,182.88,70.3,Southpaw,Lightweight,-105.0,David Teymur,0,,D,KO/TKO,1,2016-02-27,2016,1,1,,,,,,,,,,,,,0.986,0,0,1
Teruto Ishihara,2016-03-05,24,170.18,175.26,61.2,Southpaw,Featherweight,155.0,Julian Erosa,1,0.4502,V,KO/TKO,8,2019-02-09,2016,0,3,2.0,1.6667,0.3123,0.0,2.0,0.0,0.0,44.0,0.49,0.0,0.0,0.0,1.03,1,1,0
Damien Brown,2016-03-19,31,177.8,172.72,70.3,Orthodox,Lightweight,250.0,Alan Patrick,3,0.6056,D,U-DEC,6,2018-02-10,2016,1,3,2.0,3.3333,0.549,0.0,1.0,0.0,0.0,23.6667,0.46,0.3333,0.11,0.6667,0.971,1,0,1
Curtis Blaydes,2016-04-10,25,193.04,203.2,120.2,Orthodox,Heavyweight,-160.0,Francis Ngannou,1,0.4502,D,KO/TKO,19,2025-06-21,2016,1,3,2.0,3.3333,1.1801,0.0,2.0,0.0,1.0,43.25,0.555,3.75,0.49,0.0,1.053,1,1,1
Marcin Tybura,2016-04-10,30,190.5,198.12,112.9,Orthodox,Heavyweight,-110.0,Tim Johnson,2,0.4502,D,,24,2026-03-28,2016,1,3,2.0,2.6667,0.4582,0.0,2.0,0.0,0.0,37.6667,0.487,0.6667,0.277,0.0,1.04,1,1,1
Damir Hadzovic,2016-04-10,29,175.26,177.8,70.3,Orthodox,Lightweight,260.0,Mairbek Taisumov,5,1.3523,D,KO/TKO,10,2025-02-01,2016,1,3,1.0,4.0,0.8684,0.0,2.0,0.0,0.0,15.0,0.503,0.0,0.0,0.3333,1.014,1,1,1
Filip Pejic,2016-04-10,23,172.72,177.8,61.2,Orthodox,Bantamweight,-110.0,Damian Stasiak,1,0.2433,D,SUB,1,2016-04-10,2016,1,1,,,,,,,,,,,,,1.029,0,0,1
Cyril Asker,2016-04-10,30,182.88,187.96,112.0,Orthodox,Heavyweight,115.0,Jared Cannonier,1,0.2433,D,KO/TKO,5,2018-02-10,2016,1,3,1.0,2.6667,0.254,0.0,3.0,0.0,0.0,11.3333,0.29,0.3333,0.333,0.0,1.028,1,0,1
Alessio Di Chirico,2016-04-10,26,182.88,187.96,83.9,Orthodox,Middleweight,155.0,Bojan Velickovic,0,,D,U-DEC,11,2022-09-03,2016,1,3,1.0,1.6667,0.6056,1.0,0.0,1.0,0.0,42.3333,0.457,1.3333,0.33,0.0,1.028,1,1,1
Bojan Velickovic,2016-04-10,27,182.88,193.04,77.1,Southpaw,Middleweight,-175.0,Alessio Di Chirico,0,,V,U-DEC,5,2017-11-18,2016,1,3,2.0,2.0,0.5401,1.0,0.0,0.0,0.0,34.25,0.365,0.75,0.238,0.5,1.056,1,0,1
Darrell Horcher,2016-04-16,28,177.8,177.8,70.3,Southpaw,Catch Weight,650.0,Khabib Nurmagomedov,6,5.6879,D,KO/TKO,4,2018-11-30,2016,1,3,1.0,4.0,3.0408,0.0,1.0,0.0,0.0,26.3333,0.423,0.3333,0.333,0.6667,1.0,1,0,1
